year,round,raceName,date,circuitName,country,location,lat,lng
2021,18,Mexico City Grand Prix,2021-11-07,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907
2021,19,São Paulo Grand Prix,2021-11-14,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997
2021,20,Qatar Grand Prix,2021-11-21,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542
2021,21,Saudi Arabian Grand Prix,2021-12-05,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044
2021,22,Abu Dhabi Grand Prix,2021-12-12,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031
2022,1,Bahrain Grand Prix,2022-03-20,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106
2022,2,Saudi Arabian Grand Prix,2022-03-27,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044
2022,3,Australian Grand Prix,2022-04-10,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968
2022,4,Emilia Romagna Grand Prix,2022-04-24,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167
2022,5,Miami Grand Prix,2022-05-08,Miami International Autodrome,USA,Miami,25.9581,-80.2389
2022,6,Spanish Grand Prix,2022-05-22,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111
2022,7,Monaco Grand Prix,2022-05-29,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
2022,8,Azerbaijan Grand Prix,2022-06-12,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533
2022,9,Canadian Grand Prix,2022-06-19,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228
2022,10,British Grand Prix,2022-07-03,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
2022,11,Austrian Grand Prix,2022-07-10,Red Bull Ring,Austria,Spielberg,47.2197,14.7647
2022,12,French Grand Prix,2022-07-24,Circuit Paul Ricard,France,Le Castellet,43.2506,5.79167
2022,13,Hungarian Grand Prix,2022-07-31,Hungaroring,Hungary,Budapest,47.5789,19.2486
2022,14,Belgian Grand Prix,2022-08-28,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
2022,15,Dutch Grand Prix,2022-09-04,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
2022,16,Italian Grand Prix,2022-09-11,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
2022,17,Singapore Grand Prix,2022-10-02,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864
2022,18,Japanese Grand Prix,2022-10-09,Suzuka Circuit,Japan,Suzuka,34.8431,136.541
2022,19,United States Grand Prix,2022-10-23,Circuit of the Americas,USA,Austin,30.1328,-97.6411
2022,20,Mexico City Grand Prix,2022-10-30,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907
2022,21,São Paulo Grand Prix,2022-11-13,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997
2022,22,Abu Dhabi Grand Prix,2022-11-20,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031
2023,1,Bahrain Grand Prix,2023-03-05,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,USA,Miami,25.9581,-80.2389
2023,6,Monaco Grand Prix,2023-05-28,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
2023,7,Spanish Grand Prix,2023-06-04,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111
2023,8,Canadian Grand Prix,2023-06-18,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228
2023,9,Austrian Grand Prix,2023-07-02,Red Bull Ring,Austria,Spielberg,47.2197,14.7647
2023,10,British Grand Prix,2023-07-09,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
2023,11,Hungarian Grand Prix,2023-07-23,Hungaroring,Hungary,Budapest,47.5789,19.2486
2023,12,Belgian Grand Prix,2023-07-30,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
2023,13,Dutch Grand Prix,2023-08-27,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
2023,14,Italian Grand Prix,2023-09-03,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
2023,15,Singapore Grand Prix,2023-09-17,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864
2023,16,Japanese Grand Prix,2023-09-24,Suzuka Circuit,Japan,Suzuka,34.8431,136.541
2023,17,Qatar Grand Prix,2023-10-08,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542
2023,18,United States Grand Prix,2023-10-22,Circuit of the Americas,USA,Austin,30.1328,-97.6411
2023,19,Mexico City Grand Prix,2023-10-29,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907
2023,20,São Paulo Grand Prix,2023-11-05,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997
2023,21,Las Vegas Grand Prix,2023-11-19,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173
2023,22,Abu Dhabi Grand Prix,2023-11-26,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968
2024,4,Japanese Grand Prix,2024-04-07,Suzuka Circuit,Japan,Suzuka,34.8431,136.541
